CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,행정구역,2024년04월_총인구수,2024년04월_세대수,2024년04월_세대당 인구,2024년04월_남자 인구수,2024년04월_여자 인구수,2024년04월_남여 비율
52,Jeonbuk-do,전북특별자치도,52190,Namwon-si,남원시,127.4418897374,35.4225447969,전북특별자치도남원시,"76,233","39,927",1.91,"37,381","38,852",0.96
52,Jeonbuk-do,전북특별자치도,52210,Gimje-si,김제시,126.8948856958,35.806716444,전북특별자치도김제시,"81,185","43,789",1.85,"40,583","40,602",1.0
52,Jeonbuk-do,전북특별자치도,52710,Wanju-gun,완주군,127.2151146375,35.9186144442,전북특별자치도완주군,"98,770","49,349",2.0,"50,625","48,145",1.05
52,Jeonbuk-do,전북특별자치도,52720,Jinan-gun,진안군,127.4300354413,35.8288074542,전북특별자치도진안군,"24,496","13,691",1.79,"12,489","12,007",1.04
52,Jeonbuk-do,전북특별자치도,52730,Muju-gun,무주군,127.7129531107,35.9393673572,전북특별자치도무주군,"23,160","13,030",1.78,"11,582","11,578",1.0
52,Jeonbuk-do,전북특별자치도,52740,Jangsu-gun,장수군,127.5442640733,35.6574609767,전북특별자치도장수군,"20,833","11,553",1.8,"10,464","10,369",1.01
52,Jeonbuk-do,전북특별자치도,52750,Imsil-gun,임실군,127.2366622137,35.5982423857,전북특별자치도임실군,"25,815","14,948",1.73,"13,320","12,495",1.07
52,Jeonbuk-do,전북특별자치도,52770,Sunchang-gun,순창군,127.0900869739,35.4336343019,전북특별자치도순창군,"26,804","14,378",1.86,"13,162","13,642",0.96
52,Jeonbuk-do,전북특별자치도,52790,Gochang-gun,고창군,126.6160461838,35.4481675713,전북특별자치도고창군,"51,489","28,749",1.79,"25,688","25,801",1.0
52,Jeonbuk-do,전북특별자치도,52800,Buan-gun,부안군,126.6443560177,35.6779184257,전북특별자치도부안군,"48,734","27,622",1.76,"24,279","24,455",0.99
