No,기관명,기관유형,주무부처,설립일,기관장,기관장 임기,소재지,주소,홈페이지,상위기관,x,y
101.0,영상물등급위원회,기타공공기관,문화체육관광부,19990607.0,김병재,20240522-20270425,부산광역시,"부산광역시 해운대구 센텀서로 39 영상산업센터 1, 3층",www.kmrb.or.kr,-,129.126629137954,35.1722863957186
102.0,영화진흥위원회,기타공공기관,문화체육관광부,19730403.0, 공석,-,부산광역시,부산광역시 해운대구 수영강변대로 130,www.kofic.or.kr,-,129.125877073873,35.1719550037294
103.0,예금보험공사,준정부기관(기금관리형),금융위원회,19960601.0,유재훈,20221111-20251110,서울특별시,서울특별시 중구 청계천로 30,www.kdic.or.kr,-,126.98080425301,37.5685296165596
104.0,예술의전당,기타공공기관,문화체육관광부,19870107.0,장형준,20220617-20250616,서울특별시,서울특별시 서초구 남부순환로 2406,www.sac.or.kr,-,127.014215239186,37.4802401962069
105.0,오송첨단의료산업진흥재단,기타공공기관,보건복지부,20101215.0,차상훈,20210503-20240502,충청북도,충청북도 청주시 흥덕구 오송읍 오송생명로 123,www.kbiohealth.kr,-,127.324631636233,36.6354044865356
106.0,울산항만공사,기타공공기관,해양수산부,20070705.0,김재균,20210827-20240826,울산광역시,울산광역시 남구 장생포고래로 271 울산항 마린센터,www.upa.or.kr,-,129.382840549441,35.504734507947
107.0,의료기관평가인증원,기타공공기관,보건복지부,20200905.0,오태윤,20240422-20270421,서울특별시,서울특별시 영등포구 국회대로 76길 10(여의도동) 10층,www.koiha.or.kr,-,126.921557576182,37.5306561597093
108.0,인천국제공항공사,공기업(시장형),국토교통부,19990201.0,이학재,20230619-20260618,인천광역시,인천광역시 중구 공항로 424번길 47,http://www.airport.kr ,-,126.461333677371,37.4403944092737
109.0,인천항만공사,기타공공기관,해양수산부,20050711.0,이경규,20230515-20260514,인천광역시,"인천광역시 연수구 센트럴로 263, IBS타워 31~35층",https://icpa.or.kr,-,126.633942580219,37.3980385655944
110.0,재단법인 건설기술교육원,기타공공기관,국토교통부,19780418.0,권대철,20230911-20260910,인천광역시,인천광역시 남동구 소래로 688,https://www.kicte.or.kr,-,126.736530374913,37.4513721624072
111.0,재단법인 국악방송,기타공공기관,문화체육관광부,20000214.0, 공석,-,서울특별시,서울특별시 마포구 월드컵북로 54길 12(상암동),www.igbf.kr,-,126.88933208115,37.580854283154
112.0,재단법인 대한건설기계안전관리원,기타공공기관,국토교통부,19971223.0, 공석,-,서울특별시,서울특별시 서초구 서초대로 42길54,www.kcesi.or.kr,-,127.009409675744,37.4896129663029
113.0,재단법인 장애인기업종합지원센터,기타공공기관,중소벤처기업부,20080219.0,박마루,20231101-20261031,서울특별시,서울특별시 영등포구 버드나루로 14길 25,http://www.debc.or.kr,-,126.909801285184,37.5269017623879
114.0,재단법인 한국공공조직은행,기타공공기관,보건복지부,20170627.0, 공석,-,서울특별시,서울특별시  중구 퇴계로 307 광희빌딩 11층,https://kptb.kr/,-,127.005728381666,37.5643034749831
115.0,재단법인 한국에너지재단,기타공공기관,산업통상자원부,20061226.0, 공석,-,서울특별시,서울특별시 용산구 신흥로 152(후암동),www.koref.or.kr,-,126.981398475489,37.5468431573996
