"행정구역(읍면)별","두류별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"백산면","녹두","면적[㏊]","㏊","","-","","-","-","-","-",".1",".5",".5",".5",".5","-",
"백산면","녹두","생산량[M/T]","M/T","","-","","-","-","-","-",".1","1","1",".6",".6","-",
"백산면","녹두","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","136","120","-",
"백산면","기타","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","기타","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","기타","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"상서면","합계","면적[㏊]","㏊","52.2","50.2","46.7","50.1","50.1","50.3","50.8","53","45","14.8","36.7","38.1","89.7",
"상서면","합계","생산량[M/T]","M/T","118","108.5","104.1","80.8","110.8","111","112.3","96","86.7","90","125.8","127.5","266.1",
"상서면","콩","면적[㏊]","㏊","44","43","41","45","45","45.1","45.6","49","45","14.8","36.7","36.7","88",
"상서면","콩","생산량[M/T]","M/T","89.1","88","83.5","72","102","102.1","103.1","89.3","86.7","90","125.8","125.8","264",
"상서면","콩","단위생산량[kg/10a]","kg/10a","202.5","204.7","203.7","160","226.7","226.2","226.2","182.2","192.7","608.1","342.8","342.8","300",
"상서면","팥","면적[㏊]","㏊","4.5","3.6","2.9","2.5","2.5","2.5","2.6","1.5","","","","1","1.3",
"상서면","팥","생산량[M/T]","M/T","5.7","2.3","3.4","3.4","3.4","3.5","3.7","2.3","","","","1.3","1.7",
"상서면","팥","단위생산량[kg/10a]","kg/10a","125.6","63.9","117.2","136","136","136.3","144.4","153.3","-","-","-","130","126.9",
"상서면","녹두","면적[㏊]","㏊","1.6","1.8","1.4","1.2","1.2","1.2","1.2","-","-","-","-",".4",".4",
"상서면","녹두","생산량[M/T]","M/T","1.2","1.8","1.4","1.4","1.4","1.4","1.4","-","-","-","-",".4",".4",
"상서면","녹두","단위생산량[kg/10a]","kg/10a","72.5","100","100","116.7","116.7","116.2","116.2","-","-","-","-","100","100",
"상서면","기타","면적[㏊]","㏊","2.1","1.8","1.4","1.4","1.4","1.4","1.4","2.5","-","-","-","-","-",
"상서면","기타","생산량[M/T]","M/T","22.1","16.4","15.8","4","4","4","4","4.4","-","-","-","-","-",
"상서면","기타","단위생산량[kg/10a]","kg/10a","1052.4","911.1","1128.6","285.7","285.7","282","282","176","-","-","-","-","-",
"하서면","합계","면적[㏊]","㏊","43.5","40.8","41","39.8","39.8","40","40.4","70.6","44.5","16.8","25.9","25.1","39.2",
"하서면","합계","생산량[M/T]","M/T","102.2","89.6","91.8","71.3","71.3","71.4","72.2","127.8","94.6","87.5","81.2","80.5","110",
"하서면","콩","면적[㏊]","㏊","38","37","38","37","37","37.1","37.5","67.1","41","13.3","22.4","22.4","36",
"하서면","콩","생산량[M/T]","M/T","77.6","74.2","77.7","62","62","62.1","62.7","122.3","89.1","82","76.9","76.9","106",
"하서면","콩","단위생산량[kg/10a]","kg/10a","204.2","200.5","204.5","167.6","167.6","167.2","167.2","182.3","217.3","616.5","343.4","343.3","294.4",
"하서면","팥","면적[㏊]","㏊","2.2","1.2","1",".8",".8",".8",".8","1","1","1","1","1","3.2",
"하서면","팥","생산량[M/T]","M/T","2.7","1.4","1.2","1.2","1.2","1.2","1.2","1.6","1.3","1.3","1.3","1.3","4",
"하서면","팥","단위생산량[kg/10a]","kg/10a","124.1","116.7","120","150","150","150.3","150.3","160","130","130","131","130","125",
"하서면","녹두","면적[㏊]","㏊","1.4","1.4","1","1","1","1","1","1","1","1","1","-","-",
"하서면","녹두","생산량[M/T]","M/T","1","1.4","1.1","1.1","1.1","1.1","1.1","1.3","2","2","1.1","-","-",
"하서면","녹두","단위생산량[kg/10a]","kg/10a","73.6","100","110","110","110","109.6","109.6","126.6","194.7","194.7","113","-","-",
"하서면","기타","면적[㏊]","㏊","1.9","1.2","1","1","1","1","1","1.5","1.5","1.5","1.5","1.7","-",
"하서면","기타","생산량[M/T]","M/T","20.8","12.6","11.8","7","7","7","7.2","2.6","2.2","2.2","1.9","2.3","-",
"하서면","기타","단위생산량[kg/10a]","kg/10a","1094.7","1050","1180","700","700","691","703.7","173.3","146.7","146.7","131","135.3","-",
"줄포면","합계","면적[㏊]","㏊","81","78.8","80.2","90.2","56.2","56.4","57","26","80.1","6","10","10.7","2.7",
"줄포면","합계","생산량[M/T]","M/T","182","172.3","179.1","143.5","148.5","148.7","150.5","46.6","137.1","12.8","30.9","32.8","6.7",
"줄포면","콩","면적[㏊]","㏊","74","73","76","86","52","52.2","52.7","20.9","55","5","9.3","9.3","2",
"줄포면","콩","생산량[M/T]","M/T","149.3","142.3","149.2","135","140","140.1","141.9","38.1","99","11","30","31.2","6",
"줄포면","콩","단위생산량[kg/10a]","kg/10a","201.8","194.9","196.3","157","269.2","268.7","269.4","182.3","180","220","322.9","335.5","300",
