"두류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"팥","해남읍","생산량[M/T]","M/T","10.4","17.1","41.8","26.9","16.6","5.7","5.9","8.1","8.8","8.6",
"팥","삼산면","면적[ha]","ha","1.3","2","4.3","2.3","29.5","2.6","2.6","2.6","2.8","2.7",
"팥","삼산면","생산량[M/T]","M/T","1.7","2.1","4.5","2.4","17.4","3","2.9","2.9","3.2","3",
"팥","화산면","면적[ha]","ha",".8","1",".9",".8","12",".8","3","3","3.2","3.1",
"팥","화산면","생산량[M/T]","M/T","1","1",".9",".8","7.1",".9","2","3.3","3.6","3.5",
"팥","현산면","면적[ha]","ha","7","6.5","2","3.6",".8","1.1","4","4.1","4.4","4.2",
"팥","현산면","생산량[M/T]","M/T","9.1","6.8","2.1","3.8",".5","1.3","3","4.5","4.9","4.7",
"팥","송지면","면적[ha]","ha","-","-","3",".3","","-","-","-","-","-",
"팥","송지면","생산량[M/T]","M/T","","-","3.1",".3","","-","-","-","-","-",
"팥","북평면","면적[ha]","ha",".5","1.1","1.1",".3","15.6","-","-","-","-","-",
"팥","북평면","생산량[M/T]","M/T",".7","1.1","1.1",".3","9.3","-","-","-","-","-",
"팥","북일면","면적[ha]","ha",".7","23.6",".1",".1","1.6",".9","-","-","-","-",
"팥","북일면","생산량[M/T]","M/T",".9","24.5",".1",".1","1","1","-","-","-","-",
"팥","옥천면","면적[ha]","ha","1.2","7","2.7","3",".8","","4","4.1","4.4","4.2",
"팥","옥천면","생산량[M/T]","M/T","1.6","7.3","2.8","3.2",".5","-","3.2","4.5","4.9","4.7",
"팥","계곡면","면적[ha]","ha","-","-","-","-","1.6",".3",".3",".3",".3",".3",
"팥","계곡면","생산량[M/T]","M/T","","-","-","-","1",".3",".2",".3",".3",".3",
"팥","마산면","면적[ha]","ha",".3","7.7","17.8","4","18","6","7","7.1","7.6","7.4",
"팥","마산면","생산량[M/T]","M/T",".4","8","18.5","4.2","10.6","7","6","7.8","8.5","8.3",
"팥","황산면","면적[ha]","ha","3.4","5","1.8","33.2","28.4","17.1","2.1","2.1","2.2","2.1",
"팥","황산면","생산량[M/T]","M/T","4.4","5.2","1.9","34.9","16.7","19.8","2","2.3","2.5","2.4",
"팥","산이면","면적[ha]","ha","7.2","3","2.3","7.5","9.3","12.5","6","6.1","6.5","6.3",
"팥","산이면","생산량[M/T]","M/T","9.4","3.1","2.4","7.9","5.5","14.5","5","6.7","7.3","7.1",
"팥","문내면","면적[ha]","ha","1.1",".3",".9","1","","","-","-","-","-",
"팥","문내면","생산량[M/T]","M/T","1.4",".3",".9","1.1","","-","-","-","-","-",
"팥","화원면","면적[ha]","ha",".8",".5",".2",".3","3.2","-","-","-","-","-",
"팥","화원면","생산량[M/T]","M/T","1",".5",".2",".3","1.9","-","-","-","-","-",
"녹두","합계","면적[ha]","ha","52.6","37.8","43.2","45.1","45.2","48.7","33.8","34.4","36.8","35.3",
"녹두","합계","생산량[M/T]","M/T","58.1","33.6","39.3","40.1","25.1","55.5","51.7","46.5","50.8","48.9",
"녹두","해남읍","면적[ha]","ha","4.6","5.5","2.7","1.5","1.4","1.5","4.4","4.5","4.8","4.6",
"녹두","해남읍","생산량[M/T]","M/T","5.1","4.9","2.5","1.3",".8","1.7","30.8","6.1","6.7","6.5",
"녹두","삼산면","면적[ha]","ha","1.1","4","1.1","1.3","1",".5",".5",".5",".5",".5",
"녹두","삼산면","생산량[M/T]","M/T","1.2","3.6","1","1.2",".6",".6",".5",".7",".8",".7",
