"읍면동별","식량작물별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"청하면","잡곡","생산량[M/T]","M/T","","","7.2","13.6","8.2","8.2","8.6","8.6","12","12","5","6.3",
"청하면","두류","면적[㏊]","㏊","65","280","60","65","25","25","26","26","78","78","157","93.2",
"청하면","두류","생산량[M/T]","M/T","123.5","560","114","117","45","45","46.8","46.8","205","205","448","302.8",
"청하면","서류","면적[㏊]","㏊","20","20","35","38","41","41","38","38","38","38","15","15.3",
"청하면","서류","생산량[M/T]","M/T","300","250","580","684","763","763","710.5","710.5","711","711","223","240.7",
"성덕면","합계","면적[㏊]","㏊","1480.4","1627.1","1578.8","1578.8","1571","1571","1469.4","1395.8","1431","1431","2089","1917.5",
"성덕면","합계","생산량[M/T]","M/T","7743.6","9095.9","8043.8","8043.8","8783.3","8783.3","8229.9","7563.3","7647","7647","10407","9441.4",
"성덕면","미곡","면적[㏊]","㏊","1206","1325","1256","1256","1277","1277","1178","1077","984","984","1062","1077",
"성덕면","미곡","생산량[M/T]","M/T","6452.1","7542","6280","6280","7279","7279","6726.3","6124.3","5586","5586","6521","6031.2",
"성덕면","맥류","면적[㏊]","㏊","212.4","245.1","261.8","261.8","235","235","232","189","264","264","665","665.2",
"성덕면","맥류","생산량[M/T]","M/T","942.6","1156","1309","1309","1061.6","1061.6","1058","967","1428","1428","2229","2225.5",
"성덕면","잡곡","면적[㏊]","㏊","20","10","10","10","8","8","6.6","2.8","4","4","6","5.6",
"성덕면","잡곡","생산량[M/T]","M/T","51.6","25.8","25.8","25.8","18.4","18.4","15.8","9","12","12","12","16.4",
"성덕면","두류","면적[㏊]","㏊","31","31","31","31","31","31","33.8","110","162","162","317","130",
"성덕면","두류","생산량[M/T]","M/T","54.3","54","54","54","54.3","54.3","60.8","138","296","296","941","422.4",
"성덕면","서류","면적[㏊]","㏊","11","16","20","20","20","20","19","17","17","17","40","39.7",
"성덕면","서류","생산량[M/T]","M/T","243.1","318.1","375","375","370","370","369","325","325","325","704","746",
"진봉면","합계","면적[㏊]","㏊","3142.9","3229","3279","3473.3","3192.6","3192.6","2954.7","3600.5","3636","3580","3463","3407",
"진봉면","합계","생산량[M/T]","M/T","16357","16668","16410.1","16201.5","16658","16658","14959.2","17343.6","17428","17428","17498","16512.7",
"진봉면","미곡","면적[㏊]","㏊","2159","2054","2054","2106","2018","2018","2018","2547","2454","2398","1840","1840",
"진봉면","미곡","생산량[M/T]","M/T","11010.9","10372.7","10331.6","10530","11161","11161","11161","13289","12751","12751","11296","10304",
"진봉면","맥류","면적[㏊]","㏊","925","1115","1186","1341","1138","1138","873.2","873.2","948","948","1350","1351.3",
"진봉면","맥류","생산량[M/T]","M/T","4135.2","5058.4","5482.9","5380","5216.8","5216.8","3479.7","3479.7","3941","3941","4527","4546.6",
"진봉면","잡곡","면적[㏊]","㏊","","6.4","","0","","","","2.8","4","4","6","6.1",
"진봉면","잡곡","생산량[M/T]","M/T","","2","","0","","","","6.9","10","10","28","13.3",
"진봉면","두류","면적[㏊]","㏊","8.9","12","11","15.8","25.6","25.6","52.5","169","221","221","214","157.3",
"진봉면","두류","생산량[M/T]","M/T","10.9","22.5","16.1","23.5","38.2","38.2","76.5","381","539","539","629","508.7",
"진봉면","서류","면적[㏊]","㏊","50","41.6","28","10.5","11","11","11","8.5","9","9","52","52.3",
"진봉면","서류","생산량[M/T]","M/T","1200","1212","579.6","268","242","242","242","187","187","187","1019","1140.1",
"금구면","합계","면적[㏊]","㏊","1326","1130","1177.3","1177.3","1297.9","1267.9","1275.8","1276.6","1315","1315","1104","1154.7",
"금구면","합계","생산량[M/T]","M/T","7273.8","6293.1","6415.5","6415.5","7606.4","7337.4","7356.6","7355.9","6979","6979","6633","6554",
"금구면","미곡","면적[㏊]","㏊","1244","1036","1076","1076","1221","1221","1225","1225","1132","1132","902","1001",
"금구면","미곡","생산량[M/T]","M/T","6220","5180","5290","5290","6532","6532","6540","6540","6002","6002","5538","5605.6",
"금구면","맥류","면적[㏊]","㏊","1","15","16.3","16.3","","","","","78","78","12","12.3",
"금구면","맥류","생산량[M/T]","M/T","4.5","67.5","70.7","70.7","","","","","","","43","42.3",
"금구면","잡곡","면적[㏊]","㏊","2","2","2.5","2.5","3","3","3.2","4","5","5","10","10.4",
"금구면","잡곡","생산량[M/T]","M/T","5","5","5.3","5.3","7.3","7.3","8.2","7.5","11","11","31","31",
"금구면","두류","면적[㏊]","㏊","14","12","13.3","13.3","14.9","14.9","15.6","15.6","68","68","146","97",
"금구면","두류","생산량[M/T]","M/T","26.6","22.9","26.1","26.1","29.5","29.5","30.2","30.2","188","188","410","315.1",
"금구면","서류","면적[㏊]","㏊","65","65","69.2","69.2","59","29","32","32","32","32","34","34",
"금구면","서류","생산량[M/T]","M/T","1017.7","1017.7","1023.4","1023.4","1037.6","768.6","778.2","778.2","778","778","610","560",
"봉남면","합계","면적[㏊]","㏊","1590","1592","1592","1595","1443","1443","1349.6","1346","1381","1381","1557","1519.3",
"봉남면","합계","생산량[M/T]","M/T","8244.6","8527.5","8527.5","9308.5","8075.8","8075.8","8214","8207","8279","8279","8874","8167.4",
"봉남면","미곡","면적[㏊]","㏊","1459","1436","1436","1436","1382","1382","1104","1104","1011","1011","1289","1289",
"봉남면","미곡","생산량[M/T]","M/T","7732.7","7898","7898","8616","7753","7753","6157","6157","5619","5619","7914","7218.4",
"봉남면","맥류","면적[㏊]","㏊","120","145","145","140","40","40","162","160","235","235","105","121.6",
"봉남면","맥류","생산량[M/T]","M/T","492","609.5","609.5","588","173","173","744","740","1201","1201","341","413.9",
"봉남면","잡곡","면적[㏊]","㏊","","","","","0","","3.6","3","4","4","3","2.5",
"봉남면","잡곡","생산량[M/T]","M/T","","","","","0","","7","6","9","9","5","7.5",
"봉남면","두류","면적[㏊]","㏊","11","11","11","11","13","13","18","18","70","70","146","91.6",
"봉남면","두류","생산량[M/T]","M/T","19.9","20","20","20","22.4","22.4","56","55","213","213","397","297.5",
"봉남면","서류","면적[㏊]","㏊","0","","","8","8","8","62","61","61","61","15","14.6",
"봉남면","서류","생산량[M/T]","M/T","0","","","84.5","127.4","127.4","1250","1249","1237","1237","217","230.2",
"황산면","합계","면적[㏊]","㏊","821.7","821.7","845.2","845.2","837","812","812","814","849","849","922","892.3",
"황산면","합계","생산량[M/T]","M/T","5060.5","5060.5","5281.2","5281.2","5506.5","5106.5","5106.5","5159","4769","4769","5506","5129.4",
