"행정구역(읍면)별","작물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"보안면","잡곡","생산량[M/T]","M/T","61.1","41.2","66.9","76.3","94.2","92.8","75.8","-","-","-","-","-","-",
"보안면","두류","면적[㏊]","㏊","39","37.7","35.7","39.6","39.9","38.9","38.9","50","50","50","40.3","53.6","70",
"보안면","두류","생산량[M/T]","M/T","92.4","86.8","81.6","63.4","75.9","71.9","71.9","52.9","118.9","100","128.7","146.1","190",
"보안면","서류","면적[㏊]","㏊","14.5","12","16.4","16.6","16.6","16.4","16.4","11.6","11.6","11.6","11.6","11.6","11.6",
"보안면","서류","생산량[M/T]","M/T","366.9","358","370.5","375","269.8","264.5","264.5","185","185","185","263.8","263.8","263.8",
"변산면","합계","면적[㏊]","㏊","513.3","397.5","405.7","404.9","398.3","384.1","351","358.5","322","271.3","266","263.4","221.9",
"변산면","합계","생산량[M/T]","M/T","2527.8","1968.6","1901.1","1858.3","1904.5","1902","1779.8","1819.2","1591.9","1438.1","1344.7","1300.2","1394.4",
"변산면","미곡","면적[㏊]","㏊","442","327","317","316","307.1","301.1","267.7","288.8","255.1","244","237.6","237.6","198.7",
"변산면","미곡","생산량[M/T]","M/T","2193.7","1626.7","1576.7","1571.9","1648.3","1642","1524.9","1636","1413.3","1334.7","1235.4","1200.5","1305.2",
"변산면","맥류","면적[㏊]","㏊","18.2","22.6","34.6","29.4","31","23.9","23.5","13.3","6","2","2.9","2.9","1",
"변산면","맥류","생산량[M/T]","M/T","72.3","91.9","139.9","119.1","73","78.9","74.4","41.4","21","8","14.3","13.2","5.2",
"변산면","잡곡","면적[㏊]","㏊","15.2","12.1","16.9","18.7","19.1","18.8","19.4","18","19.1","19","18.9","16.3","16.3",
"변산면","잡곡","생산량[M/T]","M/T","29.9","20.2","29.7","29.9","34.2","33.1","32.4","24.1","30.3","30.4","29","20.6","20.7",
"변산면","두류","면적[㏊]","㏊","30.9","29.8","32.9","36.5","36.8","36.2","36.2","33.9","36.9","1.4","1.7","1.7","1",
"변산면","두류","생산량[M/T]","M/T","72.8","69.2","75.8","58.4","70","71.2","71.2","60.3","68.7","6.4","5.7","5.7","3",
"변산면","서류","면적[㏊]","㏊","7","6","4.3","4.3","4.3","4.2","4.2","4.5","4.9","4.9","4.9","4.9","4.9",
"변산면","서류","생산량[M/T]","M/T","159.2","160.6","79","79","79","76.9","76.9","57.4","58.6","58.6","60.3","60.3","60.3",
"진서면","합계","면적[㏊]","㏊","269","284.9","325","318.5","314.8","298.4","280.4","286.8","274","217.5","227.4","229.7","187.2",
"진서면","합계","생산량[M/T]","M/T","1505.4","1632.1","1823.7","1787.4","1781.1","1757.2","1700.9","1619.2","1513.6","1274.9","1281","1233.8","1822.6",
"진서면","미곡","면적[㏊]","㏊","190","208","227","226.3","219.9","215.7","197.5","225.9","207.2","181","176.2","176.2","137.3",
"진서면","미곡","생산량[M/T]","M/T","905.2","1034.2","1129.2","1126","1180.3","1177","1124","1280.2","1147.9","990.1","916.2","881.3","986",
"진서면","맥류","면적[㏊]","㏊","33.5","37","49","41.6","43.9","31.1","30.9","20.6","22","5","20.2","20.9","16.4",
"진서면","맥류","생산량[M/T]","M/T","118.5","150.2","198.2","168.5","103.3","102.4","96.2","64.9","77.7","20","102.4","99.1","594.8",
"진서면","잡곡","면적[㏊]","㏊","9","7.2","8.7","9.6","9.8","9.5","9.9","10.8","10.8","10.7","10.7","10.7","10.8",
"진서면","잡곡","생산량[M/T]","M/T","16.1","12.1","15.2","15.4","17.5","16.3","19.2","16.3","19","19.1","17.9","16.7","18.2",
"진서면","두류","면적[㏊]","㏊","15.2","12.4","15","16.6","16.8","18.1","18.1","11","15","1.5","1","3","4",
"진서면","두류","생산량[M/T]","M/T","36.2","24.4","28","26.6","32","25.5","25.5","20.1","27.3","3","3.5","6.3","9.5",
