"정곡별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"두류","송지면","생산량[M/T]","M/T","289.1","328.6","271","24.9","10.2","18.3","21","23.9","26.1","25.3",
"두류","북평면","면적[㏊]","㏊","128.4","42.7","39.7","11","24.8","12","25","25.3","27","26.3",
"두류","북평면","생산량[M/T]","M/T","183.1","65","49.4","14.3","17.1","22.3","31.7","37.4","40.8","39.8",
"두류","북일면","면적[㏊]","㏊","81.8","66.1","28","22.3","17.9","16.7","10","10.1","10.8","10.5",
"두류","북일면","생산량[M/T]","M/T","122.4","94.6","37.5","31.3","17","30","12.8","14.9","16.3","15.8",
"두류","옥천면","면적[㏊]","㏊","33.3","52.1","22.3","22.9","6.1","13.2","20","20.3","21.7","21",
"두류","옥천면","생산량[M/T]","M/T","47.6","81.3","29.5","31.3","5.8","24.6","20.9","28.4","31","30",
"두류","계곡면","면적[㏊]","㏊","75.6","47","75.6","36.3","30.4","37.6","37.6","38.1","40.7","39.7",
"두류","계곡면","생산량[M/T]","M/T","113.3","79","103.4","51.8","29.8","69.7","41.2","56.2","61.4","59.8",
"두류","마산면","면적[㏊]","㏊","7.3","46.7","53.3","57.2","51.6","65","102","103.3","110.4","107.6",
"두류","마산면","생산량[M/T]","M/T","10.8","71.4","65.1","77.4","42.5","113.8","73","148.8","162.5","158.4",
"두류","황산면","면적[㏊]","㏊","19.9","62","19.7","72","56.9","31.4","15.4","15.6","16.7","16.1",
"두류","황산면","생산량[M/T]","M/T","30.1","99.4","25.1","89.9","43.3","46.2","17.5","22.2","24.2","23.5",
"두류","산이면","면적[㏊]","㏊","57.2","40.7","42.1","85.5","61","68.5","43","43.7","46.7","45.4",
"두류","산이면","생산량[M/T]","M/T","86.3","63.8","49","105.1","45.2","93.5","47","61.8","67.5","65.7",
"두류","문내면","면적[㏊]","㏊","69.2","27.9","44.1","44.8","23.2","28.8","21.6","21.9","23.4","22.8",
"두류","문내면","생산량[M/T]","M/T","109.5","46.2","59.7","62.1","22.7","53","20.8","32.4","35.4","34.5",
"두류","화원면","면적[㏊]","㏊","33.6","18.3","44.1","41.8","25.6","12","12","12.2","13","12.6",
"두류","화원면","생산량[M/T]","M/T","46.3","29","58","58.7","24.3","21.8","18","18","19.7","19",
"서류","합계","면적[㏊]","㏊","1783","1963.8","1639.8","1761.3","1754.7","1854","2104.7","2149","2126.2","2337.3",
"서류","합계","생산량[M/T]","M/T","25239.3","23323.4","27001.4","28691.5","25612.5","33840.3","35266.6","39092.9","36659","39835.5",
"서류","해남읍","면적[㏊]","㏊","151.3","163","33.1","129.3","124.3","143.3","169","179.5","166","270.2",
"서류","해남읍","생산량[M/T]","M/T","2107.5","2005.2","541.6","1996.8","1738.8","2553","2369","3151.3","2830.5","4513.5",
"서류","삼산면","면적[㏊]","㏊","21.3","51","29.9","20.6","60.9","63.1","66.2","42.7","52.1","84.8",
"서류","삼산면","생산량[M/T]","M/T","297","616","477.2","319","844.3","1123.2","928","767.5","888.1","1450.3",
"서류","화산면","면적[㏊]","㏊","557.4","862.8","549.3","558.4","612.7","609.7","692.5","696.6","708.3","608.7",
"서류","화산면","생산량[M/T]","M/T","7761.4","10676.4","8482.5","8601.9","8494.4","10822.6","9840.2","12131.4","11908.5","10181",
"서류","현산면","면적[㏊]","㏊","20.5","7.6","20","18.1","8.5","17.2","18.1","18.4","14.1","8.5",
"서류","현산면","생산량[M/T]","M/T","291.5","84.2","310.7","285.7","129.2","311.6","272.2","335.8","236.7","147.8",
"서류","송지면","면적[㏊]","㏊","28.5","17.1","34.3","23.5","25.4","31.5","31.6","25.2","15.1","15.6",
"서류","송지면","생산량[M/T]","M/T","401","176.1","543.8","365.4","358.1","581.7","486.3","445.3","259.1","263.4",
"서류","북평면","면적[㏊]","㏊","19","9.5","18.6","14.3","7.4","4.7","2.7","2.5","8","5.9",
"서류","북평면","생산량[M/T]","M/T","296.3","21.9","373.4","316.1","139.6","94.7","64.4","59.6","173.6","128.7",
"서류","북일면","면적[㏊]","㏊","32.8","23","56.1","43.7","50.9","46","34","33","42.7","46",
"서류","북일면","생산량[M/T]","M/T","491.6","178.9","1163.3","831.3","926.2","952.3","739.2","745","857.1","925.9",
"서류","옥천면","면적[㏊]","㏊","21.2","12.2","36.2","16.2","1.3","1.5","33","21.4","24.6","61",
"서류","옥천면","생산량[M/T]","M/T","296.9","113.8","584","283.3","18","26.6","349.1","421.3","451.2","1062.8",
"서류","계곡면","면적[㏊]","㏊","24","13.1","4","8.9","1.6","1.6","2.9","1.5","6.3","5.1",
"서류","계곡면","생산량[M/T]","M/T","387","128.3","69.5","147.2","24.2","29.8","30.6","27","109.8","88.7",
"서류","마산면","면적[㏊]","㏊","332.4","85","229.1","268.6","280.7","279.7","248.9","371.5","367.3","399.1",
"서류","마산면","생산량[M/T]","M/T","4622.5","1039.9","3526.6","4129.5","3919.5","4985.9","4615.1","6480.6","6186.6","6680.1",
"서류","황산면","면적[㏊]","㏊","17.9","21.5","39.2","23.7","19.3","14.4","24.5","25.2","35.9","25.6",
"서류","황산면","생산량[M/T]","M/T","286","150.4","811","498.3","376.7","306.6","488.6","533.1","770.9","532.4",
"서류","산이면","면적[㏊]","㏊","547.4","691.3","565.3","591.4","548.8","628","767.5","713.1","681.8","803.2",
"서류","산이면","생산량[M/T]","M/T","7866","8067.9","9612.9","9976.6","8431.1","11791.9","14858.9","13628.7","11915","13798",
"서류","문내면","면적[㏊]","㏊","5.4","5.3","22.5","40.2","6.8","4.3","4.8","9.5","3","1.4",
"서류","문내면","생산량[M/T]","M/T","78.2","52.3","468.1","867.7","115.1","79","62.7","173.6","51.5","24",
"서류","화원면","면적[㏊]","㏊","3.9","1.4","2.1","4.4","6.1","9","9","8.9","1","2.2",
"서류","화원면","생산량[M/T]","M/T","56.7","12.1","37","72.8","97.3","181.4","162.3","192.7","20.3","39.1",
