"읍면동별","미곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"요촌동","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"신풍동","합계","면적[㏊]","㏊","1247","1295","1295","1295","1186","1186","1186","1186","1111","1022","1186",
"신풍동","합계","생산량[M/T]","M/T","6484.4","6240","10360","10360","6523","6523","6523","6523","5985","6275.1","6641.6",
"신풍동","논벼","면적[㏊]","㏊","1247","1295","1295","1295","1186","1186","1186","1186","1111","1022","1186",
"신풍동","논벼","생산량[M/T]","M/T","6484.4","6240","10360","10360","6523","6523","6523","6523","5985","6275.1","6641.6",
"신풍동","논벼","단위생산량[㎏/10a]","㎏/10a","520","520","800","-","550","550","550","550","539","614","",
"신풍동","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"신풍동","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"신풍동","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"검산동","합계","면적[㏊]","㏊","453","506","437","440","449","449","449","449","377","317","449",
"검산동","합계","생산량[M/T]","M/T","2287.7","21555.3","22258","22258","2470","2469.5","2467","2467","1929","1945.2","2514.4",
"검산동","논벼","면적[㏊]","㏊","453","506","437","440","449","449","449","449","377","317","449",
"검산동","논벼","생산량[M/T]","M/T","2287.7","21555.3","22258","22258","2470","2469.5","2467","2467","1929","1945.2","2514.4",
"검산동","논벼","단위생산량[㎏/10a]","㎏/10a","505","505","","-","550","550","549","549","512","614","",
"검산동","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"검산동","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"검산동","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"교월동","합계","면적[㏊]","㏊","1541","1614","1631","1564","1403","1403","1609","1609","1534","1012","1073",
"교월동","합계","생산량[M/T]","M/T","8090.3","8618.8","8481.2","8005.2","7717","7716.5","8992","8992","8454","6213.7","6008.8",
"교월동","논벼","면적[㏊]","㏊","1541","1484","1485","1418","1403","1403","1609","1609","1534","1012","1073",
"교월동","논벼","생산량[M/T]","M/T","8090.3","7924.6","7722","7246","7717","7716.5","8992","8992","8454","6213.7","6008.8",
"교월동","논벼","단위생산량[㎏/10a]","㎏/10a","525","534","517","511","550","550","550","550","551","614","",
"교월동","밭벼","면적[㏊]","㏊","","130","146","146","-","","","","","0","-",
"교월동","밭벼","생산량[M/T]","M/T","","694.2","759.2","759.2","-","","","","","0","-",
"교월동","밭벼","단위생산량[㎏/10a]","㎏/10a","","534","510","520","-","","","","","0","",
