"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"용지면","쌀보리","면적[㏊]","㏊","","","","2.5","1.5","1.5","1.5","1.5","79","6.2","0","0",
"용지면","쌀보리","생산량[M/T]","M/T","","","","12.7","6.8","6.8","6.8","6.8","469","20.9","0","0",
"용지면","쌀보리","단위생산량[㎏/10a]","㎏/10a","","-","-","508","450","450","453.3","453.3","593.7","337","0","0",
"용지면","밀","면적[㏊]","㏊","","","","1.3","","","-","","","7.2","0","0",
"용지면","밀","생산량[M/T]","M/T","","","","6.5","","","-","","","30.2","0","0",
"용지면","밀","단위생산량[㎏/10a]","㎏/10a","","-","-","500","","","-","","","419.4","0","0",
"용지면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"용지면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"용지면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"용지면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"용지면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"용지면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"백구면","합계","면적[㏊]","㏊","63","63","1.4","8.4","52.1","52.1","54","54","129","87.1","88.6","88.6",
"백구면","합계","생산량[M/T]","M/T","209.5","203","5.7","34.2","214.2","214.2","313.18","313.2","774.2","326.4","320.5","323.3",
"백구면","겉보리","면적[㏊]","㏊","16","16","",".3","1.1","1.1","2.2","2.2","17.2","5.9","4.8","4.8",
"백구면","겉보리","생산량[M/T]","M/T","56","54","","1.2","4.7","4.7","10.1","10.1","164.4","18.9","15.4","15.8",
"백구면","겉보리","단위생산량[㎏/10a]","㎏/10a","350","350","-","400","430","430","460","460","955.8","321","321","330",
"백구면","쌀보리","면적[㏊]","㏊","22","22","","4.2","29.7","29.7","17","17","33.8","47.4","48.5","48.5",
"백구면","쌀보리","생산량[M/T]","M/T","66","66","","15.5","130.7","130.7","102","102","256.5","159.7","163.4","160.1",
"백구면","쌀보리","단위생산량[㎏/10a]","㎏/10a","300","300","-","369","440","440","600","600","758.9","337","337","330",
"백구면","밀","면적[㏊]","㏊","25","25","","3.9","21.3","21.3","31.1","31.1","76.5","30.9","32.2","32.2",
"백구면","밀","생산량[M/T]","M/T","87.5","83","","17.5","78.8","78.8","180","180","334.5","129.8","124.8","128.8",
"백구면","밀","단위생산량[㎏/10a]","㎏/10a","350","350","-","448.7","370","370","580","580","437.3","387.7","387.7","400",
"백구면","호밀","면적[㏊]","㏊","","","","","","",".4",".4","","","","",
"백구면","호밀","생산량[M/T]","M/T","","","","","","","2.28","2.3","","","","",
"백구면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","570","570","","","","",
"백구면","맥주보리","면적[㏊]","㏊","","","","","","","3.3","3.3","1.5","2.9","3.1","3.1",
