"잡곡별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"조","마산면","면적[ha]","ha","44.8","50.6","37","36.5","30","32","29","28.6","40.2","38.2",
"조","마산면","생산량[M/T]","M/T","56","63.3","52.9","67.5","44.5","80.6","61.5","54.9","89.2","84.9",
"조","황산면","면적[ha]","ha","3.5","7.1","3.1",".7","1","-","-","-","-","-",
"조","황산면","생산량[M/T]","M/T","4.4","8.9","4.4","1.3","1.6","-","-","-","-","-",
"조","산이면","면적[ha]","ha","25.6","2.6","5","6.4","5.2","7","7","6.9","9.7","9.2",
"조","산이면","생산량[M/T]","M/T","32","3.2","7.2","11.8","8.4","13.7","4.9","13.2","21.5","20.4",
"조","문내면","면적[ha]","ha","1.8","-","","-","","-","-","-","-","-",
"조","문내면","생산량[M/T]","M/T","2.3","-","-","-","","-","-","-","-","-",
"조","화원면","면적[ha]","ha","6.7","-","-","-","-","-","-","-","-","-",
"조","화원면","생산량[M/T]","M/T","8.4","-","-","-","-","-","-","-","-","-",
"수수","합계","면적[ha]","ha","56.4","80.2","64","50.1","16","11.8","6.7","6.7","9.4","8.7",
"수수","합계","생산량[M/T]","M/T","73.3","104.3","91.5","78.1","19.2","19.5","10.5","10.4","16.9","15.8",
"수수","해남읍","면적[ha]","ha","3.1","1.1","1.6","1.9","1.9","-","-","-","-","-",
"수수","해남읍","생산량[M/T]","M/T","4","1.4","2.3","3","2.3","-","-","-","-","-",
"수수","삼산면","면적[ha]","ha",".8",".1","-","-",".1","-","-","-","-","-",
"수수","삼산면","생산량[M/T]","M/T","1",".2","-","-",".2","-","-","-","-","-",
"수수","화산면","면적[ha]","ha","",".2",".3",".3",".5","-","-","-","-","-",
"수수","화산면","생산량[M/T]","M/T","",".2",".4",".5",".6","-","-","-","-","-",
"수수","현산면","면적[ha]","ha","9.8","3.4","5.8","4.7","3.1","4.2","2.5","2.5","3.5","3.3",
"수수","현산면","생산량[M/T]","M/T","12.7","4.5","8.3","7.3","3.8","7.4","1.9","3.9","6.3","6",
"수수","송지면","면적[ha]","ha","","-","10","","","-","-","-","-","-",
"수수","송지면","생산량[M/T]","M/T","","-","14.3","-","","-","-","-","-","-",
"수수","북평면","면적[ha]","ha",".7","-","-",".1",".2","-","-","-","-","-",
"수수","북평면","생산량[M/T]","M/T",".9","-","-",".2",".2","-","-","-","-","-",
"수수","북일면","면적[ha]","ha","","-","-","-","","-","-","-","-","-",
"수수","북일면","생산량[M/T]","M/T","","-","-","-","","-","-","-","-","-",
"수수","옥천면","면적[ha]","ha","1.7","6.3","2.5","2.5",".1",".2",".4",".4",".6",".5",
"수수","옥천면","생산량[M/T]","M/T","2.2","8.2","3.6","3.9",".1",".4","6.3",".6","1",".9",
"수수","계곡면","면적[ha]","ha","","-","-","-",".4",".4",".4",".4",".6",".5",
"수수","계곡면","생산량[M/T]","M/T","","-","-","-",".5",".6",".6",".6","1",".9",
"수수","마산면","면적[ha]","ha",".3","8.5","2.7","2.8","5.1","2.6","-","-","-","-",
"수수","마산면","생산량[M/T]","M/T",".4","11.1","3.9","4.4","5.9","4","-","-","-","-",
"수수","황산면","면적[ha]","ha","1.3","4.3","6.8","4.1","","1","1","1","1.4","1.3",
"수수","황산면","생산량[M/T]","M/T","1.7","5.5","9.7","6.4","","1.5","-","1.6","2.6","2.4",
"수수","산이면","면적[ha]","ha","31.3","52","20","22","","-","-","-","-","-",
"수수","산이면","생산량[M/T]","M/T","40.7","67.6","28.6","34.3","","-","-","-","-","-",
"수수","문내면","면적[ha]","ha","4.3",".9","5.7","-","2","2.3","1.3","1.3","1.8","1.7",
"수수","문내면","생산량[M/T]","M/T","5.6","1.1","8.2","-","2.4","3.8","1.7","2","3.3","3",
"수수","화원면","면적[ha]","ha","3.1","3.4","8.6","11.7","2.6","1.1","1.1","1.1","1.5","1.4",
"수수","화원면","생산량[M/T]","M/T","4","4.5","12.3","18.3","3.2","1.8","-","1.7","2.8","2.6",
"옥수수","합계","면적[ha]","ha","27.6","49.5","42.1","31.2","23.8","26.4","66.3","65.6","92.2","91.5",
"옥수수","합계","생산량[M/T]","M/T","82.8","150.5","123.4","92.1","61.1","95.8","182.5","180.6","293.5","291.7",
"옥수수","해남읍","면적[ha]","ha",".8","7.3","7","2.8","2.5","2.6","-","-","-","-",
"옥수수","해남읍","생산량[M/T]","M/T","2.4","22.2","20.5","8.3","6.5","9.4","-","-","-","-",
"옥수수","삼산면","면적[ha]","ha","1",".8",".7",".3",".5","1.6","1.6","1.6","2.2","2.1",
"옥수수","삼산면","생산량[M/T]","M/T","3","2.4","2.1",".9","1.3","5.8","4.8","4.4","7.2","6.8",
"옥수수","화산면","면적[ha]","ha","",".2",".2",".6","1","3.9","-","-","-","1.2",
"옥수수","화산면","생산량[M/T]","M/T","",".6",".6","1.8","2.6","14.2","-","-","-","3.8",
"옥수수","현산면","면적[ha]","ha","8.4",".5",".2",".3","2.6",".3",".3",".3",".4",".4",
"옥수수","현산면","생산량[M/T]","M/T","25.2","1.5",".6",".9","6.8","1.1",".9",".8","1.3","1.2",
"옥수수","송지면","면적[ha]","ha","3","-","4","5","","4","10.6","10.5","14.8","14",
"옥수수","송지면","생산량[M/T]","M/T","9","-","11.7","14.8","","14.5","47","28.9","47","44.7",
"옥수수","북평면","면적[ha]","ha","3.1","2.5","2.5","2.5","5.2","-","7","6.9","9.7","9.2",
"옥수수","북평면","생산량[M/T]","M/T","9.3","7.6","7.3","7.4","13.3","-","21.1","19","30.9","29.3",
"옥수수","북일면","면적[ha]","ha","","-","-","-",".2","1","1","1","1.4","1.3",
"옥수수","북일면","생산량[M/T]","M/T","","-","-","-",".6","3.6","3","2.8","4.6","4.3",
"옥수수","옥천면","면적[ha]","ha",".2","1.3","1",".1",".3","-",".6",".6",".8",".8",
"옥수수","옥천면","생산량[M/T]","M/T",".6","4","2.9",".3",".8","-","1.6","1.7","2.8","2.6",
"옥수수","계곡면","면적[ha]","ha","1.3","-","-","-","","","-","-","-","-",
"옥수수","계곡면","생산량[M/T]","M/T","3.9","-","-","-","","-","-","-","-","-",
"옥수수","마산면","면적[ha]","ha","2.5","-","-","-","","-","40","39.5","55.5","52.8",
"옥수수","마산면","생산량[M/T]","M/T","7.5","-","-","-","","-","88.8","108.7","176.6","168.1",
"옥수수","황산면","면적[ha]","ha",".7","3","3.2","6.8","4.5","3","1.9","1.9","2.7","2.5",
"옥수수","황산면","생산량[M/T]","M/T","2.1","9.1","9.4","20.1","11.7","10.9","5.4","5.2","8.5","8",
"옥수수","산이면","면적[ha]","ha","3.2","28.7","14.5","10.8","7","10","3.3","3.3","4.6","4.4",
"옥수수","산이면","생산량[M/T]","M/T","9.6","87.2","42.5","31.9","17.5","36.3","9.9","9.1","14.8","14",
"옥수수","문내면","면적[ha]","ha","2.6","4.3","8.1","1","","-","-","-","-","-",
"옥수수","문내면","생산량[M/T]","M/T","7.8","13.1","23.7","3","","-","-","-","-","-",
"옥수수","화원면","면적[ha]","ha",".8",".9",".7","1","-","-","-","-","-","2.8",
"옥수수","화원면","생산량[M/T]","M/T","2.4","2.7","2.1","3","-","-","-","-","-","8.9",
"메밀","합계","면적[ha]","ha","13.6","25.3","25.5","48.6","91.4","30.1","10.4","10.3","14.5","13.6",
