"행정구역(읍면)별","잡곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"행안면","옥수수","단위생산량[kg/10a]","kg/10a","389","300","300","266.7","266.7","267","315","-","-","-","-","-","-",
"행안면","메밀","면적[㏊]","㏊","1.3","1","1","2","2","2","2","-","-","-","-","-","-",
"행안면","메밀","생산량[M/T]","M/T","1.5","1.2","1.1","1.5","2.2","2.2","2.7","-","-","-","-","-","-",
"행안면","메밀","단위생산량[kg/10a]","kg/10a","115.4","120","110","75","110","110.1","132.6","-","-","-","-","-","-",
"행안면","기타","면적[㏊]","㏊","19.5","19.5","17.4","19.5","4.3","4.3","4.4","-","-","-","-","-","-",
"행안면","기타","생산량[M/T]","M/T","30.1","30.1","28.5","29.5","6.3","6.3","6.2","-","-","-","-","-","-",
"행안면","기타","단위생산량[kg/10a]","kg/10a","154","154","164","151","147","146.5","141","-","-","-","-","-","-",
"계화면","합계","면적[㏊]","㏊","11.8","16.5","14.5","16.5","13","12.7","13.1","-","4","4","4","4","-",
"계화면","합계","생산량[M/T]","M/T","25.4","27","19.5","27","23.8","22.9","23.5","-","5.7","5.7","4.6","4.6","-",
"계화면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"계화면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"계화면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"계화면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"계화면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"계화면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"계화면","옥수수","면적[㏊]","㏊","3","1.5","1.5","2","3","2.7","2.9","-","-","-","-","-","-",
"계화면","옥수수","생산량[M/T]","M/T","11.8","4.5","4.5","6","9","8.1","9.2","-","-","-","-","-","-",
"계화면","옥수수","단위생산량[kg/10a]","kg/10a","393.3","300","300","300","300","300.3","317","-","-","-","-","-","-",
"계화면","메밀","면적[㏊]","㏊","","-","","-","-","-","-","-","4","4","4","4","-",
"계화면","메밀","생산량[M/T]","M/T","","-","","-","-","-","-","-","5.7","5.7","4.6","4.6","-",
"계화면","메밀","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","142.5","142.5","114","114","-",
"계화면","기타","면적[㏊]","㏊","8.8","15","13","14.5","10","10","10.2","-","-","-","-","-","-",
"계화면","기타","생산량[M/T]","M/T","13.6","22.5","15","21","14.8","14.8","14.3","-","-","-","-","-","-",
"계화면","기타","단위생산량[kg/10a]","kg/10a","155","150","115","145","148","148","139.9","-","-","-","-","-","-",
"보안면","합계","면적[㏊]","㏊","31.8","25.9","25.8","30","48.7","48.4","49.5","-","-","-","-","-","-",
"보안면","합계","생산량[M/T]","M/T","61.1","41.2","34.1","44.4","94.2","92.8","75.8","-","-","-","-","-","-",
"보안면","조","면적[㏊]","㏊","1","1","1","2","2","","","","","","","","",
"보안면","조","생산량[M/T]","M/T","1.4","1.4","1.4","3","3","","","","","","","","",
"보안면","조","단위생산량[kg/10a]","kg/10a","140","140","140","150","150","","","","","","","","",
"보안면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"보안면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"보안면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"보안면","옥수수","면적[㏊]","㏊","6","2","2","3","4","3.6","3.8","-","-","-","-","-","-",
"보안면","옥수수","생산량[M/T]","M/T","23.6","6","6","8","16","14.4","12.1","-","-","-","-","-","-",
"보안면","옥수수","단위생산량[kg/10a]","kg/10a","393.3","300","300","266.7","400","400.4","319","-","-","-","-","-","-",
"보안면","메밀","면적[㏊]","㏊","3.5","1.6","1.5","2","2","2","2","-","-","-","-","-","-",
"보안면","메밀","생산량[M/T]","M/T","4.1","1.8","1.7","2.5","3","3","2.7","-","-","-","-","-","-",
"보안면","메밀","단위생산량[kg/10a]","kg/10a","117.7","112.5","113.3","125","150","150.2","132.5","-","-","-","-","-","-",
"보안면","기타","면적[㏊]","㏊","21.3","21.3","21.3","23","40.7","42.8","43.7","-","-","-","-","-","-",
"보안면","기타","생산량[M/T]","M/T","32","32","25","30.9","72.2","75.4","61","-","-","-","-","-","-",
"보안면","기타","단위생산량[kg/10a]","kg/10a","150","150","117","134","177","176.1","139.7","-","-","-","-","-","-",
"변산면","합계","면적[㏊]","㏊","15.2","12.1","12.3","16.5","19.1","18.8","19.4","18","19.1","19","18.9","16.3","16.3",
"변산면","합계","생산량[M/T]","M/T","29.9","20.2","21.8","29.5","34.2","33.1","32.4","24.1","30.3","30.4","29","20.6","20.7",
"변산면","조","면적[㏊]","㏊",".5",".5",".5",".5",".5","","","","","","","","",
"변산면","조","생산량[M/T]","M/T",".7",".7",".8","2","2","","","","","","","","",
"변산면","조","단위생산량[kg/10a]","kg/10a","140","140","160","400","400","","","","","","","","",
"변산면","수수","면적[㏊]","㏊","2",".8",".8","1","1","","","","","","","","",
"변산면","수수","생산량[M/T]","M/T","2.9",".9",".9","1.5","1.5","","","","","","","","",
"변산면","수수","단위생산량[kg/10a]","kg/10a","145","112.5","112.5","150","150","","","","","","","","",
"변산면","옥수수","면적[㏊]","㏊","3","1.5","2","3","3","2.7","2.9","3","3.1","3.1","3",".4",".4",
"변산면","옥수수","생산량[M/T]","M/T","11.7","4.5","6","8","12","10.8","9.2","8.3","9.8","9.9","9.6","1.2","1.3",
"변산면","옥수수","단위생산량[kg/10a]","kg/10a","390","300","300","266.7","400","400.4","316","276.7","316.1","319.4","320","300","317.5",
"변산면","메밀","면적[㏊]","㏊",".4","-","","-","-","-","-","-","-","-","-","-","-",
"변산면","메밀","생산량[M/T]","M/T",".5","-","","-","-","-","-","-","-","-","-","-","-",
"변산면","메밀","단위생산량[kg/10a]","kg/10a","112.5","-","","","-","-","-","-","-","-","-","-","-",
"변산면","기타","면적[㏊]","㏊","9.3","9.3","9","12","14.6","16.1","16.5","15","16","15.9","15.9","15.9","15.9",
"변산면","기타","생산량[M/T]","M/T","14.1","14.1","14.1","18","18.7","22.2","23.2","15.8","20.5","20.5","19.4","19.4","19.4",
"변산면","기타","단위생산량[kg/10a]","kg/10a","152","152","157","150","128","137.9","141.2","105.3","128.1","128.9","122","122","122",
"진서면","합계","면적[㏊]","㏊","9","7.2","6","8","9.8","9.5","9.9","10.8","10.8","10.7","10.7","10.7","10.8",
"진서면","합계","생산량[M/T]","M/T","16.1","12.1","8","13","17.5","16.3","19.2","16.3","19","19.1","17.9","16.7","18.2",
"진서면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"진서면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"진서면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"진서면","수수","면적[㏊]","㏊",".7","-","","-","-","","","","","","","","",
"진서면","수수","생산량[M/T]","M/T","1","-","","-","-","","","","","","","","",
"진서면","수수","단위생산량[kg/10a]","kg/10a","142.9","-","","","-","","","","","","","","",
"진서면","옥수수","면적[㏊]","㏊","1",".5","1","2","3","2.7","2.9","3","3","3","3","3","3.1",
"진서면","옥수수","생산량[M/T]","M/T","3.8","1.5","3","5","12","10.8","9.2","8.3","9","9.1","9.5","8.2","9.3",
"진서면","옥수수","단위생산량[kg/10a]","kg/10a","380","300","300","250","400","400.4","317","276.7","300","303.3","315","273.3","296.5",
"진서면","메밀","면적[㏊]","㏊",".6","-","","-","-","-","-","1","1","1","1","1","1",
"진서면","메밀","생산량[M/T]","M/T",".7","-","","-","-","-","-",".9","1.4","1.4","1","1","1.4",
"진서면","메밀","단위생산량[kg/10a]","kg/10a","116.7","-","","","-","-","-","-","140","140","104","104","140",
"진서면","기타","면적[㏊]","㏊","6.7","6.7","5","6","6.8","6.8","7","6.8","6.8","6.7","6.7","6.7","6.7",
"진서면","기타","생산량[M/T]","M/T","10.6","10.6","5","8","5.5","5.5","10","7.1","8.6","8.6","7.4","7.5","7.5",
"진서면","기타","단위생산량[kg/10a]","kg/10a","158","158","100","133","81","80.9","144.4","104.4","126.5","128.4","110","111.9","111.9",
"백산면","합계","면적[㏊]","㏊","6.9","6.9","6.9","9","6.8","6.5","6.7","1.4","1.4","1.5","1.5","1.5","1.5",
"백산면","합계","생산량[M/T]","M/T","13.9","12.3","11.2","16","12.4","11.4","14.5","2.2","2.9","2.8","2.6","2.9","2.9",
"백산면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"백산면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"백산면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"백산면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"백산면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"백산면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"백산면","옥수수","면적[㏊]","㏊","1.5","1.5","1.5","2","3","2.7","2.9",".4",".4",".4",".4",".4",".4",
"백산면","옥수수","생산량[M/T]","M/T","5.6","4","4","6","10","9","9.2","1.1","1.6","1.5","1.3","1.5","1.5",
"백산면","옥수수","단위생산량[kg/10a]","kg/10a","373.3","266.7","266.7","300","333.3","333.7","316","275","400","375","318","375","375",
"백산면","메밀","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","메밀","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","메밀","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"백산면","기타","면적[㏊]","㏊","5.4","5.4","5.4","7","3.8","3.8","3.8","1","1","1.1","1.1","1.1","1.1",
"백산면","기타","생산량[M/T]","M/T","8.3","8.3","7.2","10","2.4","2.4","5.3","1.1","1.3","1.3","1.3","1.4","1.4",
"백산면","기타","단위생산량[kg/10a]","kg/10a","154","154","133","143","63","63.2","139.2","110","130","118.2","119","127.3","127.3",
"상서면","합계","면적[㏊]","㏊","46.2","39.6","34.5","38.5","45.4","45","46.1","8.2","8.2","8.3","8.1","11.8","11",
"상서면","합계","생산량[M/T]","M/T","90.7","63.8","52","62.8","84.2","82.6","73","9.2","13.4","13","11.5","26.5","31.7",
"상서면","조","면적[㏊]","㏊","1","1","1","2","2","","","","","","","","",
"상서면","조","생산량[M/T]","M/T","1.3","1.3","1.3","3","3","","","","","","","","",
"상서면","조","단위생산량[kg/10a]","kg/10a","130","130","130","150","150","","","","","","","","",
"상서면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"상서면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"상서면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"상서면","옥수수","면적[㏊]","㏊","9","3.1","3.5","4","5","4.5","4.8","1","1","1","1","4.7","4.2",
"상서면","옥수수","생산량[M/T]","M/T","35.2","9","10.5","13","17","15.3","15.3","2.8","3","2.6","3.3","17","20.1",
"상서면","옥수수","단위생산량[kg/10a]","kg/10a","391.1","290.3","300","325","340","340.4","317","280","300","260","326","361.7","478.6",
"상서면","메밀","면적[㏊]","㏊","1.7","1","1","1.5","1.5","1.5","1.5","6.2","6.2","6.2","6","6","5.7",
"상서면","메밀","생산량[M/T]","M/T","1.9","1.2","1.2","1.8","1.8","1.8","2","5.3","9.1","9.1","6.9","8","10.1",
"상서면","메밀","단위생산량[kg/10a]","kg/10a","111.8","120","120","120","120","120.1","130","85.5","146.8","146.8","115","133.3","176.3",
"상서면","기타","면적[㏊]","㏊","34.5","34.5","29","31","36.9","39","39.8","1","1","1.1","1.1","1.1","1.1",
"상서면","기타","생산량[M/T]","M/T","52.3","52.3","39","45","62.4","65.5","55.7","1.1","1.3","1.3","1.4","1.5","1.5",
"상서면","기타","단위생산량[kg/10a]","kg/10a","152","152","134","145","169","168.1","140.1","110","130","118.2","123","136.4","136.4",
