"읍면동별","잡곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"공덕면","옥수수","생산량[M/T]","M/T","2.5","2.5","3.4","3.4","8.5","8.5","232","232","239","17","16.5","17.4",
"공덕면","옥수수","단위생산량[㎏/10a]","㎏/10a","245","245","245","245","283","283","283","283","288","257.6","284.5","300",
"공덕면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"공덕면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"공덕면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"공덕면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"공덕면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"공덕면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"청하면","합계","면적[㏊]","㏊","","","3","","3.4","3.4","3.6","3.6","5","2.1","2.1","2.1",
"청하면","합계","생산량[M/T]","M/T","","","7.2","","8.2","8.2","8.6","8.6","12","5.4","5.4","6.3",
"청하면","옥수수","면적[㏊]","㏊","","","3","3.4","3.4","3.4","3.6","3.6","5","2.1","2.1","2.1",
"청하면","옥수수","생산량[M/T]","M/T","","","7.2","8.5","8.2","8.2","8.6","8.6","12","5.4","5.4","6.3",
"청하면","옥수수","단위생산량[㎏/10a]","㎏/10a","","","240","250","240","240","240","240","240","257.1","257.1","300",
"청하면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"청하면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"청하면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"청하면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"청하면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"청하면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"성덕면","합계","면적[㏊]","㏊","20","10","10","10","8","8","6.6","2.8","4","4.8","5.6","5.6",
"성덕면","합계","생산량[M/T]","M/T","51.6","25.8","25.8","25.8","18.4","18.4","15.8","9","12","12.4","11.7","16.41",
"성덕면","옥수수","면적[㏊]","㏊","20","10","10","10","8","8","6.6","2.8","4","3.5","4.3","4.3",
"성덕면","옥수수","생산량[M/T]","M/T","51.6","25.8","25.8","25.8","18.4","18.4","15.8","9","12","9","8.5","12.9",
"성덕면","옥수수","단위생산량[㎏/10a]","㎏/10a","258","258","258","258","230","230","240","240","300","257.1","197.7","300",
"성덕면","메밀","면적[㏊]","㏊","","","","","","","","","","1.3","1.3","1.3",
"성덕면","메밀","생산량[M/T]","M/T","","","","","","","","","","3.4","3.2","3.51",
"성덕면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","261.5","246.2","270",
"성덕면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"성덕면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"성덕면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"진봉면","합계","면적[㏊]","㏊","","6.4","","","","","2.8","2.8","4","6.5","6.1","6.1",
"진봉면","합계","생산량[M/T]","M/T","","2","","","","","6.9","6.9","10","28.6","27.6","28.3",
"진봉면","옥수수","면적[㏊]","㏊","","","","","","","2.8","2.8","4","3.8","3.6","3.6",
"진봉면","옥수수","생산량[M/T]","M/T","","","","","","","6.9","6.9","10","9.8","9.8","10.8",
"진봉면","옥수수","단위생산량[㎏/10a]","㎏/10a","","","","","","","283","283","250","257.9","272.2","300",
"진봉면","메밀","면적[㏊]","㏊","","6.4","","","","","","","","0","0","-",
"진봉면","메밀","생산량[M/T]","M/T","","2","","","","","","","","0","0","-",
"진봉면","메밀","단위생산량[㎏/10a]","㎏/10a","","31","","","","","","","","0","0","-",
"진봉면","기타","면적[㏊]","㏊","","","","","","","","","","2.7","2.5","2.5",
"진봉면","기타","생산량[M/T]","M/T","","","","","","","","","","18.8","17.8","17.5",
"진봉면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","696.3","712","700",
"금구면","합계","면적[㏊]","㏊","2","2","2.5","2.5","3","3","4","4","5","12.5","10.4","10.4",
"금구면","합계","생산량[M/T]","M/T","5","5","5.8","5.8","7.3","7.3","7.5","7.5","11","32","30.9","31.02",
"금구면","수수","면적[㏊]","㏊","","","","1","","","","","","","","",
"금구면","수수","생산량[M/T]","M/T","","","","2.5","","","","","","","","",
"금구면","수수","단위생산량[㎏/10a]","㎏/10a","","","","250","","","","","","","","",
"금구면","옥수수","면적[㏊]","㏊","2","2","2.5","2.5","3","3","4","4","5","11.7","9.8","9.8",
"금구면","옥수수","생산량[M/T]","M/T","5","5","5.8","5.8","7.3","7.3","7.5","7.5","11","30.1","29.4","29.4",
"금구면","옥수수","단위생산량[㎏/10a]","㎏/10a","250","250","270","270","245","245","248","248","220","257.3","300","300",
"금구면","메밀","면적[㏊]","㏊","","","","","","","","","",".8",".6",".6",
"금구면","메밀","생산량[M/T]","M/T","","","","","","","","","","1.9","1.5","1.62",
"금구면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","237.5","250","270",
"금구면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"금구면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"금구면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"봉남면","합계","면적[㏊]","㏊","","","","","0","","3","3","4","2","2.5","2.5",
"봉남면","합계","생산량[M/T]","M/T","","","","","0","","6","6","9","5.2","5.2","7.5",
"봉남면","옥수수","면적[㏊]","㏊","","","","","","","3","3","4","2","2.5","2.5",
"봉남면","옥수수","생산량[M/T]","M/T","","","","","","","6","6","9","5.1","5.1","7.5",
"봉남면","옥수수","단위생산량[㎏/10a]","㎏/10a","","","","","","","130","130","225","255","204","300",
"봉남면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"봉남면","메밀","생산량[M/T]","M/T","","","","","","","","","",".1",".1","-",
"봉남면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","",".1",".1","-",
"봉남면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"봉남면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"봉남면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"황산면","합계","면적[㏊]","㏊","6","6","10","10","8","8","8.2","8","9","4.7","5.1","5.1",
"황산면","합계","생산량[M/T]","M/T","14.4","14.4","19.4","19.4","16","16","16.3","16","19","12.1","11.5","15.3",
"황산면","옥수수","면적[㏊]","㏊","6","6","10","10","8","8","8.2","8","9","4.7","5.1","5.1",
"황산면","옥수수","생산량[M/T]","M/T","14.4","14.4","19.4","19.4","16","16","16.3","16","19","12.1","11.5","15.3",
"황산면","옥수수","단위생산량[㎏/10a]","㎏/10a","240","240","194","194","202","202","198","185","211.1","257.4","225.5","300",
"황산면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"황산면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"황산면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"황산면","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"황산면","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"황산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"금산면","합계","면적[㏊]","㏊","8","8","8","9","11","11","12","13","14","33.1","32.6","32.6",
"금산면","합계","생산량[M/T]","M/T","20","20","20","23","13","13","25","26","29","85.8","83.2","98.6",
"금산면","옥수수","면적[㏊]","㏊","8","8","8","9","11","11","12","13","14","33","32.4","32.4",
"금산면","옥수수","생산량[M/T]","M/T","20","20","20","23","13","13","25","26","29","84.7","82.1","97.2",
"금산면","옥수수","단위생산량[㎏/10a]","㎏/10a","250","250","250","250","126","126","210","218","207.1","256.7","253.4","300",
"금산면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"금산면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"금산면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"금산면","기타","면적[㏊]","㏊","","","","","","","","","",".2",".2",".2",
"금산면","기타","생산량[M/T]","M/T","","","","","","","","","","1.1","1.1","1.4",
"금산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","550","550","700",
"광활면","합계","면적[㏊]","㏊","","3.1","3.7","4.6","","","","","","3.3","3.1","3.1",
"광활면","합계","생산량[M/T]","M/T","","7.2","8.4","9.6","","","","","","22.7","21.6","20.9",
"광활면","옥수수","면적[㏊]","㏊","","3.1","3.7","4.6","","","","","","0",".2",".2",
"광활면","옥수수","생산량[M/T]","M/T","","7.2","8.4","9.6","","","","","",".1",".1",".6",
"광활면","옥수수","단위생산량[㎏/10a]","㎏/10a","","235","227","","","","","","",".1","50","300",
"광활면","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"광활면","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"광활면","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"광활면","기타","면적[㏊]","㏊","","","","","","","","","","3.2","2.9","2.9",
"광활면","기타","생산량[M/T]","M/T","","","","","","","","","","22.6","21.5","20.3",
"광활면","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","706.3","741.4","700",
"요촌동","합계","면적[㏊]","㏊","2","2","6.8","6.8","6","6",".03",".02","",".5",".5",".5",
"요촌동","합계","생산량[M/T]","M/T","5.2","5.2","17.7","17.7","14.6","14.6","1",".8","","1.3","1.3","1.5",
"요촌동","옥수수","면적[㏊]","㏊","2","2","6.8","6.8","6","6",".03",".02","",".5",".5",".5",
"요촌동","옥수수","생산량[M/T]","M/T","5.2","5.2","17.7","17.7","14.6","14.6","1",".8","","1.3","1.3","1.5",
"요촌동","옥수수","단위생산량[㎏/10a]","㎏/10a","258","258","260","260","243","243","3330","3120","","260","260","300",
"요촌동","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"요촌동","메밀","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"요촌동","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","-",
"요촌동","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"요촌동","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"요촌동","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"신풍동","합계","면적[㏊]","㏊","4","4","3","2.8","6","6","5","5","6","1.2","1.2","1.2",
"신풍동","합계","생산량[M/T]","M/T","10","10","6","5.9","14.6","14.6","13","13","16","3","2.7","3.3",
"신풍동","수수","면적[㏊]","㏊","","","",".8","","","","","","","","",
"신풍동","수수","생산량[M/T]","M/T","","","","1.9","","","","","","","","",
"신풍동","수수","단위생산량[㎏/10a]","㎏/10a","","","","240","","","","","","","","",
"신풍동","옥수수","면적[㏊]","㏊","4","4","3","2","6","6","5","5","6","1.1","1.1","1.1",
"신풍동","옥수수","생산량[M/T]","M/T","10","10","6","4","14.6","14.6","13","13","16","2.7","2.4","3.3",
"신풍동","옥수수","단위생산량[㎏/10a]","㎏/10a","250","250","200","200","240","240","260","260","266.7","245.5","218.2","300",
"신풍동","메밀","면적[㏊]","㏊","","","","","","","","","",".1",".1",".1",
"신풍동","메밀","생산량[M/T]","M/T","","","","","","","","","",".3",".3","-",
"신풍동","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","300","300","-",
"신풍동","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"신풍동","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"신풍동","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
"검산동","합계","면적[㏊]","㏊","4","4","6","6","2","2","3","3","4","4","3.4","3.4",
"검산동","합계","생산량[M/T]","M/T","9.7","9.7","14.6","14.6","4","4","6","6","11","10.3","9.9","10.2",
"검산동","옥수수","면적[㏊]","㏊","4","4","6","6","2","2","3","3","4","4","3.4","3.4",
"검산동","옥수수","생산량[M/T]","M/T","9.7","9.7","14.6","14.6","4","4","6","6","11","10.3","9.8","10.2",
"검산동","옥수수","단위생산량[㎏/10a]","㎏/10a","243","243","243","243","200","200","200","200","275","257.5","288.2","300",
"검산동","메밀","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"검산동","메밀","생산량[M/T]","M/T","","","","","","","","","",".1",".1","-",
"검산동","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","",".1",".1","-",
"검산동","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"검산동","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"검산동","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
