"읍면동별","두류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"용지면","합계","면적[㏊]","㏊","25.5","25.5","19.5","20.3","16.8","6.8","17.5","16.3","68","139.7","92.9",
"용지면","합계","생산량[M/T]","M/T","52.6","52.6","34.1","42.7","29.3","14.6","30.2","28.7","187","408.1","301.3",
"용지면","콩","면적[㏊]","㏊","25","25","18","18.5","15.5","5.5","15","13.8","66","139.2","92.4",
"용지면","콩","생산량[M/T]","M/T","50","50","32","35.2","27.1","12.4","25.3","23.6","182","407.2","300.3",
"용지면","콩","단위생산량[㎏/10a]","㎏/10a","200","200","178","190","175","175","168.66","171","275.8","292.5","325",
"용지면","팥","면적[㏊]","㏊","1.4","1.4","1.2","1.3","1.3","1.3","2.5","2.5","2.5",".5",".5",
"용지면","팥","생산량[M/T]","M/T","2","2","1.7","2.2","2.2","2.2","4.9","5.1","5.1",".9","1",
"용지면","팥","단위생산량[㎏/10a]","㎏/10a","142","142","141","169","169","169","196","204","204","183.3","200",
"용지면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"용지면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"용지면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"용지면","기타","면적[㏊]","㏊",".5",".5",".3",".5","","","","","","","-",
"용지면","기타","생산량[M/T]","M/T",".6",".6",".4",".7","","","","","","","-",
"용지면","기타","단위생산량[㎏/10a]","㎏/10a","120","120","133","140","","","","","","","-",
"백구면","합계","면적[㏊]","㏊","3","4","5.8","5.9","5.1","2.1","5.8","5.8","58","154.4","93.8",
"백구면","합계","생산량[M/T]","M/T","4.5","5.5","8.7","8.8","5.3","3.2","4.64","4.6","163","467.3","304.6",
"백구면","콩","면적[㏊]","㏊","3","4","5.8","5.9","5.1","2.1","5.8","5.8","58","154.2","93.6",
"백구면","콩","생산량[M/T]","M/T","4.5","5.5","8.7","8.8","5.3","3.2","4.64","4.6","163","466.9","304.2",
"백구면","콩","단위생산량[㎏/10a]","㎏/10a","150","150","103","104","104","104","80","80","281","302.8","325",
"백구면","팥","면적[㏊]","㏊","","","","-","","","","","",".2",".2",
"백구면","팥","생산량[M/T]","M/T","","","","-","","","","","",".4",".4",
"백구면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"백구면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"백구면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"백구면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"백구면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"백구면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"백구면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"부량면","합계","면적[㏊]","㏊","","","6","6","26.8","8.4","12.1","164.9","217","645.1","424.1",
"부량면","합계","생산량[M/T]","M/T","","","10.8","10.8","53.6","22.6","44.7","609.2","767","1897.8","1378.2",
"부량면","콩","면적[㏊]","㏊","","","6","6","26.8","8.4","12.1","164.9","217","645","424",
"부량면","콩","생산량[M/T]","M/T","","","10.8","10.8","53.6","22.6","44.7","609.2","767","1897.6","1378",
"부량면","콩","단위생산량[㎏/10a]","㎏/10a","","","181","181","200","200","370","369.4","353.5","294.2","325",
"부량면","팥","면적[㏊]","㏊","","","","-","","","","","",".1",".1",
"부량면","팥","생산량[M/T]","M/T","","","","-","","","","","",".2",".2",
"부량면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","183.3","200",
"부량면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"부량면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"부량면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"부량면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"부량면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"부량면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"공덕면","합계","면적[㏊]","㏊","3","3","4","4","4","4","47","47","99","143","104.6",
"공덕면","합계","생산량[M/T]","M/T","5.6","5.6","7.4","7.4","7","7","70.5","70.5","229","432.9","339.7",
"공덕면","콩","면적[㏊]","㏊","3","3","4","4","4","4","47","47","99","142.8","104.4",
"공덕면","콩","생산량[M/T]","M/T","5.6","5.6","7.4","7.4","7","7","70.5","70.5","229","432.5","339.3",
"공덕면","콩","단위생산량[㎏/10a]","㎏/10a","185","185","185","185","175","175","150","150","231.3","302.9","325",
"공덕면","팥","면적[㏊]","㏊","","","","-","","","","","",".2",".2",
"공덕면","팥","생산량[M/T]","M/T","","","","-","","","","","",".4",".4",
"공덕면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"공덕면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
