"행정구역(읍면)별","미곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"진서면","합계","단위생산량[kg/10a]","kg/10a","476.4","497.2","497.4","497.6","536.7","545.6","569.1","566.6","554","547","520","500.2","718.1",
"진서면","논벼","면적[㏊]","㏊","188","206","225","224.3","217.9","215.7","197.5","225.9","207.2","181","176.2","176.2","137.3",
"진서면","논벼","생산량[M/T]","M/T","901","1030","1125","1122","1176","1177","1124","1280.2","1147.9","990.1","916.2","881.3","986",
"진서면","논벼","단위생산량[kg/10a]","kg/10a","479.3","500","500","500","539.6","545.6","569.1","566.6","554","547","520","500.2","718.1",
"진서면","밭벼","면적[㏊]","㏊","2","2","2","2","2","-","-","-","-","-","-","-","-",
"진서면","밭벼","생산량[M/T]","M/T","4.2","4.2","4.2","4.5","4.5","-","-","-","-","-","-","-","-",
"진서면","밭벼","단위생산량[kg/10a]","kg/10a","210","210","210","225","225","-","-","-","-","-","-","-","-",
"백산면","합계","면적[㏊]","㏊","2345","1915","2130","2123.6","2064.1","2043.5","1987.8","2043.4","1949.3","1825.6","1777.4","1837.4","1798.6",
"백산면","합계","생산량[M/T]","M/T","11875","9575","10650","10618","11078.1","11089.2","11332","11577.5","10799.1","9986","9242.3","9207.6","9312.3",
"백산면","합계","단위생산량[kg/10a]","kg/10a","506.4","500","500","500","536.7","542.7","570.1","566.6","554","547","520","501.1","517.8",
"백산면","논벼","면적[㏊]","㏊","2345","1915","2130","2123.6","2064.1","2043.5","1987.8","2043.4","1949.3","1825.6","1777.4","1837.4","1798.6",
"백산면","논벼","생산량[M/T]","M/T","11875","9575","10650","10618","11078","11089","11332","11577.5","10799.1","9986","9242.3","9207.6","9312.3",
"백산면","논벼","단위생산량[kg/10a]","kg/10a","506.4","500","500","500","536.7","542.7","570.1","566.6","554","547","520","501.1","517.8",
"백산면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"백산면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"상서면","합계","면적[㏊]","㏊","748","792","751","748.7","727.7","720.4","724.2","770.9","721.2","677.9","660","691","652.1",
"상서면","합계","생산량[M/T]","M/T","3728","3960","3755","3743.5","3905.6","3907","4127","4367.9","3995.4","3708.1","3431.7","3396.8","3501.5",
"상서면","합계","단위생산량[kg/10a]","kg/10a","498.4","500","500","500","536.7","542.3","569.9","566.6","554","547","520","491.6","537",
"상서면","논벼","면적[㏊]","㏊","748","792","751","748.7","727.7","720.4","724.2","770.9","721.2","677.9","660","691","652.1",
"상서면","논벼","생산량[M/T]","M/T","3728","3960","3755","3744","3906","3907","4127","4367.9","3995.4","3708.1","3431.7","3396.8","3501.5",
"상서면","논벼","단위생산량[kg/10a]","kg/10a","498.4","500","500","500","536.7","542.3","569.9","566.6","554","547","520","491.6","537",
"상서면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"상서면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"상서면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"하서면","합계","면적[㏊]","㏊","778","801","800","797.6","775.2","767.4","773.1","836.6","756.5","731.3","712","743","704.2",
"하서면","합계","생산량[M/T]","M/T","3901","4005","4000","3988","4160.5","4164.7","4406","4740.2","4191","4000.2","3702.1","3667.2","3771.9",
"하서면","합계","단위생산량[kg/10a]","kg/10a","501.4","500","500","500","536.7","542.7","569.9","566.6","554","547","520","493.6","535.6",
"하서면","논벼","면적[㏊]","㏊","778","801","800","797.6","775.2","767.4","773.1","836.6","756.5","731.3","712","743","704.2",
"하서면","논벼","생산량[M/T]","M/T","3901","4005","4000","3988","4161","4165","4406","4740.2","4191","4000.2","3702.1","3667.2","3771.9",
